Distrito,Barrio,URL Completa,URL Path
Chamberí,Trafalgar,https://www.idealista.com/venta-viviendas/madrid/chamberi/trafalgar/,/venta-viviendas/madrid/chamberi/trafalgar/
Chamberí,Vallehermoso,https://www.idealista.com/venta-viviendas/madrid/chamberi/vallehermoso/,/venta-viviendas/madrid/chamberi/vallehermoso/
Ciudad Lineal,Atalaya,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/atalaya/,/venta-viviendas/madrid/ciudad-lineal/atalaya/
Ciudad Lineal,Colina,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/colina/,/venta-viviendas/madrid/ciudad-lineal/colina/
Ciudad Lineal,Concepción,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/concepcion/,/venta-viviendas/madrid/ciudad-lineal/concepcion/
Ciudad Lineal,Costillares,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/costillares/,/venta-viviendas/madrid/ciudad-lineal/costillares/
Ciudad Lineal,Pueblo Nuevo,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/pueblo-nuevo/,/venta-viviendas/madrid/ciudad-lineal/pueblo-nuevo/
Ciudad Lineal,Quintana,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/quintana/,/venta-viviendas/madrid/ciudad-lineal/quintana/
Ciudad Lineal,San Juan Bautista,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/san-juan-bautista/,/venta-viviendas/madrid/ciudad-lineal/san-juan-bautista/
Ciudad Lineal,San Pascual,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/san-pascual/,/venta-viviendas/madrid/ciudad-lineal/san-pascual/
Ciudad Lineal,Ventas,https://www.idealista.com/venta-viviendas/madrid/ciudad-lineal/ventas/,/venta-viviendas/madrid/ciudad-lineal/ventas/
Fuencarral-El Pardo,Arroyo del Fresno,https://www.idealista.com/venta-viviendas/madrid/fuencarral/arroyo-del-fresno/,/venta-viviendas/madrid/fuencarral/arroyo-del-fresno/
Fuencarral-El Pardo,El Pardo,https://www.idealista.com/venta-viviendas/madrid/fuencarral/el-pardo/,/venta-viviendas/madrid/fuencarral/el-pardo/
Fuencarral-El Pardo,Fuentelarreina,https://www.idealista.com/venta-viviendas/madrid/fuencarral/fuentelarreina/,/venta-viviendas/madrid/fuencarral/fuentelarreina/
Fuencarral-El Pardo,La Paz,https://www.idealista.com/venta-viviendas/madrid/fuencarral/la-paz/,/venta-viviendas/madrid/fuencarral/la-paz/
Fuencarral-El Pardo,Las Tablas,https://www.idealista.com/venta-viviendas/madrid/fuencarral/las-tablas/,/venta-viviendas/madrid/fuencarral/las-tablas/
Fuencarral-El Pardo,Mirasierra,https://www.idealista.com/venta-viviendas/madrid/fuencarral/mirasierra/,/venta-viviendas/madrid/fuencarral/mirasierra/
Fuencarral-El Pardo,Montecarmelo,https://www.idealista.com/venta-viviendas/madrid/fuencarral/montecarmelo/,/venta-viviendas/madrid/fuencarral/montecarmelo/
Fuencarral-El Pardo,Peñagrande,https://www.idealista.com/venta-viviendas/madrid/fuencarral/penagrande/,/venta-viviendas/madrid/fuencarral/penagrande/
Fuencarral-El Pardo,Pilar,https://www.idealista.com/venta-viviendas/madrid/fuencarral/pilar/,/venta-viviendas/madrid/fuencarral/pilar/
Fuencarral-El Pardo,Tres Olivos-Valverde,https://www.idealista.com/venta-viviendas/madrid/fuencarral/tres-olivos-valverde/,/venta-viviendas/madrid/fuencarral/tres-olivos-valverde/
Hortaleza,Apóstol Santiago,https://www.idealista.com/venta-viviendas/madrid/hortaleza/apostol-santiago/,/venta-viviendas/madrid/hortaleza/apostol-santiago/
Hortaleza,Canillas,https://www.idealista.com/venta-viviendas/madrid/hortaleza/canillas/,/venta-viviendas/madrid/hortaleza/canillas/
Hortaleza,Conde Orgaz-Piovera,https://www.idealista.com/venta-viviendas/madrid/hortaleza/conde-orgaz-piovera/,/venta-viviendas/madrid/hortaleza/conde-orgaz-piovera/
Hortaleza,Palomas,https://www.idealista.com/venta-viviendas/madrid/hortaleza/palomas/,/venta-viviendas/madrid/hortaleza/palomas/
Hortaleza,Pinar del Rey,https://www.idealista.com/venta-viviendas/madrid/hortaleza/pinar-del-rey/,/venta-viviendas/madrid/hortaleza/pinar-del-rey/
Hortaleza,Sanchinarro,https://www.idealista.com/venta-viviendas/madrid/hortaleza/sanchinarro/,/venta-viviendas/madrid/hortaleza/sanchinarro/
